transaction_id,community,property_type,bedrooms,price_aed,size_sqft,transaction_date,roi_pct,developer,handover_status,floor_level,view_type,service_charge_aed_sqft,parking_spots,completion_year,furnishing,amenities
TRX-019,Sports City,Apartment,2,1100000,840,2024-11-28,8.7,Union Properties,Ready,5,park,11.4,1,2020,semi,"gym,kids_play,pool"
TRX-020,Sports City,Apartment,1,600000,700,2024-05-28,8.5,Union Properties,Ready,13,park,15.2,1,2015,unfurnished,"kids_play,pool"
TRX-021,Discovery Gardens,Apartment,1,700000,490,2024-07-20,8.8,Nakheel,Ready,9,community,8.2,2,2010,unfurnished,"garden,gym,pool"
TRX-022,Discovery Gardens,Apartment,0,850000,360,2024-12-10,8.8,Nakheel,Ready,7,community,13.6,1,2009,unfurnished,"garden,kids_play"
TRX-023,JLT (Jumeirah Lake Towers),Apartment,1,1800000,980,2024-10-20,7.1,DMCC,Ready,15,community,19.5,1,2010,unfurnished,"concierge,pool,retail"
TRX-024,JLT (Jumeirah Lake Towers),Apartment,1,1400000,650,2024-01-02,7.0,DMCC,Ready,33,marina,19.7,1,2018,furnished,"concierge,gym,pool,retail"
TRX-025,JLT (Jumeirah Lake Towers),Apartment,1,2000000,520,2024-02-25,7.5,DMCC,Ready,29,road,16.6,1,2014,unfurnished,"concierge,gym"
TRX-026,JLT (Jumeirah Lake Towers),Apartment,1,2150000,940,2024-08-15,7.7,DMCC,Ready,6,community,19.3,1,2010,semi,"concierge,gym,pool,retail"
TRX-027,The Springs,Villa,5,2200000,2560,2024-12-07,6.3,Emaar,Ready,2,park,9.9,1,2005,unfurnished,"bbq,kids_play,lake_access,pool"
TRX-028,The Springs,Apartment,1,2450000,1830,2024-07-18,7.1,Emaar,Ready,1,park,10.7,3,2001,semi,"bbq,gym,kids_play,lake_access,pool"
TRX-029,The Springs,Villa,4,3100000,1440,2024-08-06,6.1,Emaar,Ready,1,lake,11.4,2,2007,unfurnished,"bbq,gym,lake_access,pool"
TRX-030,The Springs,Apartment,1,1700000,1650,2024-01-08,7.2,Emaar,Ready,2,lake,14.7,2,2002,unfurnished,"bbq,gym,kids_play,lake_access,pool"
TRX-031,Al Barsha,Apartment,2,950000,760,2024-10-22,7.7,Binghatti,Ready,5,road,11.7,1,2016,unfurnished,"gym,kids_play,pool,retail"
TRX-032,Al Barsha,Apartment,2,800000,900,2024-01-28,7.1,Binghatti,Ready,22,community,15.6,1,2008,semi,"gym,kids_play,pool,retail"
TRX-033,Al Barsha,Apartment,0,1750000,570,2024-02-09,7.4,Nshama,Ready,6,road,15.9,2,2013,unfurnished,"gym,kids_play,pool,retail"
TRX-034,Deira,Apartment,2,700000,420,2024-08-18,8.6,Meraas,Ready,8,market,9.1,0,2008,unfurnished,"gym,retail"
TRX-035,Deira,Apartment,2,600000,580,2024-05-09,9.0,Meraas,Ready,2,community,10.4,0,2018,unfurnished,"gym,retail"
TRX-036,Deira,Apartment,1,400000,490,2024-05-01,8.9,Union Properties,Ready,13,creek,9.1,1,2008,unfurnished,"gym,retail"
TRX-037,Bur Dubai,Apartment,3,1100000,750,2024-05-28,7.9,Nshama,Ready,5,road,14.5,0,2002,unfurnished,"pool,retail"
TRX-038,Bur Dubai,Apartment,0,1000000,500,2024-08-10,8.5,DMCC,Ready,5,community,13.4,1,2009,furnished,"gym,retail"
TRX-039,Bur Dubai,Apartment,1,1150000,700,2024-08-23,7.6,DMCC,Off-Plan,4,museum,11.2,1,2004,furnished,retail
TRX-040,International City,Apartment,1,500000,430,2024-03-09,9.6,Nakheel,Ready,8,community,7.4,1,2015,unfurnished,gym
TRX-041,International City,Apartment,0,350000,360,2024-07-24,9.6,Nakheel,Ready,5,road,8.8,1,2012,semi,"gym,pool,retail"
TRX-042,International City,Apartment,1,300000,490,2024-05-06,10.0,Nakheel,Ready,1,dragon_mart,10.0,1,2006,unfurnished,gym
TRX-043,International City,Apartment,1,550000,490,2024-08-03,10.3,Nakheel,Ready,8,community,8.0,1,2008,unfurnished,"gym,pool,retail"
TRX-044,International City,Apartment,1,600000,350,2024-05-15,9.7,Nakheel,Ready,1,road,9.3,1,2009,unfurnished,"gym,pool,retail"
TRX-045,Dubai Silicon Oasis,Apartment,3,750000,470,2024-12-10,9.0,Union Properties,Ready,3,community,8.1,1,2013,semi,"pool,retail"
TRX-046,Dubai Silicon Oasis,Apartment,1,700000,550,2024-06-26,9.2,Union Properties,Ready,8,road,10.3,2,2018,unfurnished,"gym,pool"
TRX-047,Dubai Silicon Oasis,Apartment,0,850000,470,2024-07-08,9.5,Binghatti,Ready,11,tech_park,8.9,1,2015,unfurnished,"gym,kids_play,pool,retail"
TRX-048,Dubai Silicon Oasis,Apartment,2,800000,680,2024-02-28,9.4,Nshama,Ready,7,park,12.8,1,2012,unfurnished,"gym,kids_play"
TRX-049,Dubai Silicon Oasis,Apartment,3,400000,430,2024-07-11,9.3,Various,Ready,14,road,8.9,1,2014,unfurnished,"gym,kids_play,pool,retail"
TRX-050,Tilal Al Ghaf,Villa,3,2150000,3170,2024-05-12,5.1,Meraas,Ready,3,golf,16.0,2,2022,semi,"bbq,gym,kids_play,lagoon,park,pool"
TRX-051,Tilal Al Ghaf,Villa,3,4650000,2940,2024-08-10,6.1,Meraas,Ready,2,lagoon,10.6,3,2026,unfurnished,"bbq,gym,kids_play,lagoon,park"
TRX-052,Tilal Al Ghaf,Villa,3,4200000,2140,2024-05-01,6.4,Meraas,Ready,3,park,13.4,2,2024,unfurnished,"gym,kids_play,lagoon,park,pool"
TRX-053,Tilal Al Ghaf,Penthouse,3,4100000,3820,2024-12-25,5.5,Meraas,Off-Plan,1,golf,16.0,3,2024,semi,"bbq,gym,lagoon,park"
TRX-054,Tilal Al Ghaf,Villa,5,5200000,4150,2024-06-17,7.0,Meraas,Ready,1,community,13.5,2,2023,furnished,"gym,kids_play,lagoon,park,pool"
TRX-055,DAMAC Hills 2,Apartment,1,1350000,690,2024-01-09,8.0,DAMAC,Ready,13,community,15.2,2,2023,semi,"bbq,gym,kids_play"
TRX-056,DAMAC Hills 2,Apartment,1,1200000,800,2024-08-23,7.8,DAMAC,Off-Plan,10,golf,13.8,1,2025,unfurnished,"bbq,kids_play,retail"
TRX-057,DAMAC Hills 2,Apartment,1,700000,970,2024-08-20,8.8,DAMAC,Ready,5,road,10.7,1,2024,furnished,"bbq,kids_play,pool,retail"
TRX-058,DAMAC Hills 2,Apartment,3,600000,620,2024-08-03,9.0,DAMAC,Ready,8,golf,11.4,1,2025,unfurnished,"bbq,gym,kids_play,pool,retail"
TRX-059,Dubai Creek Harbour,Apartment,2,1150000,1540,2024-03-18,7.6,Emaar,Off-Plan,18,park,20.3,1,2022,unfurnished,"concierge,gym,park,pool"
TRX-060,Dubai Creek Harbour,Apartment,1,2350000,630,2024-06-17,6.6,Emaar,Ready,3,burj_khalifa,20.3,1,2019,furnished,"concierge,gym,kids_play,pool"
TRX-061,Dubai Creek Harbour,Apartment,1,1500000,1340,2024-10-05,6.6,Emaar,Off-Plan,22,burj_khalifa,21.7,1,2026,semi,"concierge,gym,kids_play,pool,retail"
TRX-062,Bluewaters Island,Apartment,2,4550000,2450,2024-07-14,5.9,Meraas,Ready,14,community,23.3,2,2022,furnished,"beach_access,concierge,gym,pool,spa,valet"
TRX-063,Bluewaters Island,Apartment,1,3600000,1580,2024-09-11,5.6,Meraas,Ready,6,marina,22.7,1,2018,furnished,"concierge,gym,spa,valet"
TRX-064,Meydan,Apartment,2,1950000,820,2024-04-26,6.9,Meydan,Off-Plan,4,park,15.6,1,2021,unfurnished,"gym,kids_play,park,pool"
TRX-065,Meydan,Apartment,2,1750000,950,2024-11-13,7.0,Meydan,Off-Plan,24,skyline,12.2,2,2022,furnished,"gym,kids_play,park,pool"
TRX-066,Al Furjan,Apartment,2,850000,950,2024-02-09,7.8,Nakheel,Off-Plan,4,park,12.7,1,2020,unfurnished,"gym,kids_play,pool,retail"
TRX-067,Al Furjan,Apartment,1,1400000,750,2024-01-01,7.2,Nakheel,Ready,4,road,10.7,1,2020,unfurnished,"gym,kids_play,pool,retail"
TRX-068,Dubai South,Apartment,1,550000,490,2024-07-01,9.0,Dubai South,Ready,6,community,11.0,1,2020,unfurnished,"gym,kids_play,pool,retail"
TRX-069,Dubai South,Apartment,0,650000,440,2024-07-19,9.1,Dubai South,Off-Plan,11,airport,8.7,0,2023,unfurnished,"gym,kids_play,pool,retail"
TRX-070,Dubai South,Apartment,0,1000000,410,2024-04-06,8.8,Dubai South,Off-Plan,13,community,11.1,0,2026,unfurnished,"kids_play,pool,retail"
TRX-071,Town Square,Apartment,2,600000,700,2024-05-19,8.6,Nshama,Ready,8,park,11.4,1,2023,semi,"bbq,gym,kids_play,pool"
TRX-072,Town Square,Apartment,1,700000,570,2024-01-15,8.7,Nshama,Ready,1,park,9.7,1,2024,furnished,"bbq,gym,kids_play,pool,retail"
TRX-073,Town Square,Apartment,2,700000,680,2024-11-20,8.5,Nshama,Ready,9,park,8.2,1,2021,unfurnished,"gym,kids_play,retail"
